CustomerID,Month,Industry,Country,Revenue_MEUR,EBITDA_MEUR,EBITDA_Margin,Operating_Cash_Flow_MEUR,Free_Cash_Flow_MEUR,Loan_Amount_MEUR,Collateral_Value_MEUR,PD_pct,LGD_pct,Interest_Rate_pct,Days_Past_Due,Risk_Rating_1to10,Net_Debt_to_EBITDA,Debt_to_Equity,Interest_Coverage,ROIC_pct,Stage,Covenant_Breach
C1002,2024-11-01,Hospitality,Italy,37.81,7.37,0.195,6.0,2.5,8.55,8.28,6.28,18.85,3.68,0,5,2.49,2.3,15.0,6.91,1,N
C1002,2024-12-01,Hospitality,Italy,36.06,7.53,0.2089,5.66,4.04,8.55,8.06,5.19,21.03,3.68,8,5,1.35,2.3,15.0,3.19,1,N
C1003,2024-01-01,Pharmaceuticals,France,16.55,5.33,0.3224,3.99,3.13,4.67,2.88,1.94,43.59,7.37,50,7,1.23,1.48,15.0,4.93,2,N
C1003,2024-02-01,Pharmaceuticals,France,15.81,5.21,0.3296,3.85,2.35,4.67,2.61,4.72,38.74,7.37,43,7,0.55,1.48,15.0,2.26,2,N
C1003,2024-03-01,Pharmaceuticals,France,16.05,5.14,0.3204,4.99,2.99,4.67,2.66,2.47,40.23,7.37,54,7,2.89,1.48,15.0,8.08,2,N
C1003,2024-04-01,Pharmaceuticals,France,16.64,5.12,0.3077,4.38,3.89,4.67,2.78,3.48,42.13,7.37,59,7,0.98,1.48,15.0,4.71,2,N
C1003,2024-05-01,Pharmaceuticals,France,16.26,4.72,0.2906,3.87,3.25,4.67,2.89,4.25,35.29,7.37,61,7,1.18,1.48,12.67,10.0,2,Y
C1003,2024-06-01,Pharmaceuticals,France,16.48,4.98,0.3022,4.72,4.01,4.67,2.61,4.81,44.81,7.37,70,7,2.39,1.48,13.58,7.19,2,Y
C1003,2024-07-01,Pharmaceuticals,France,17.14,4.93,0.2875,3.75,2.59,4.67,2.6,2.25,49.43,7.37,67,7,3.34,1.48,14.46,5.58,2,Y
C1003,2024-08-01,Pharmaceuticals,France,15.86,4.42,0.2786,4.0,3.33,4.67,2.75,2.5,36.81,7.37,71,7,2.04,1.48,13.24,4.2,2,Y
C1003,2024-09-01,Pharmaceuticals,France,16.24,4.35,0.2677,3.3,2.1,4.67,2.91,2.45,40.73,7.37,71,7,2.69,1.48,12.83,3.42,2,Y
C1003,2024-10-01,Pharmaceuticals,France,16.34,4.58,0.28,4.78,4.77,4.67,2.91,4.0,40.0,7.37,67,7,1.29,1.48,14.79,7.02,2,Y
C1003,2024-11-01,Pharmaceuticals,France,16.47,4.6,0.279,4.06,2.5,4.67,2.94,3.35,39.23,7.37,65,7,0.84,1.48,13.34,6.22,2,Y
C1003,2024-12-01,Pharmaceuticals,France,17.22,4.83,0.2807,5.0,2.98,4.67,2.86,2.17,35.41,7.37,67,7,0.73,1.48,15.0,5.36,2,Y
C1004,2024-01-01,Energy,Germany,19.73,3.68,0.1867,3.23,2.31,2.17,1.25,9.23,43.8,7.13,6,4,1.97,2.24,15.0,6.76,1,N
C1004,2024-02-01,Energy,Germany,19.87,3.38,0.1701,3.14,1.68,2.17,1.29,10.61,43.8,7.13,24,4,1.51,2.24,15.0,8.29,1,N
C1004,2024-03-01,Energy,Germany,19.99,3.05,0.1526,2.88,1.46,2.17,1.28,10.53,39.38,7.13,16,4,1.64,2.24,15.0,6.68,1,N
C1004,2024-04-01,Energy,Germany,19.62,3.56,0.1815,3.53,2.9,2.17,1.18,11.92,48.55,7.13,22,4,2.43,2.24,15.0,7.0,1,N
C1004,2024-05-01,Energy,Germany,18.47,3.44,0.1865,3.5,2.89,2.17,1.17,8.63,42.69,7.13,22,4,2.82,2.24,15.0,8.41,1,N
C1004,2024-06-01,Energy,Germany,18.14,3.43,0.189,2.96,1.83,2.17,1.23,9.53,38.26,7.13,19,4,2.32,2.24,15.0,9.74,1,N
C1004,2024-07-01,Energy,Germany,18.28,3.61,0.1975,2.69,1.39,2.17,1.16,10.13,44.34,7.13,0,4,3.1,2.24,15.0,7.59,1,N
C1004,2024-08-01,Energy,Germany,17.46,3.53,0.2021,3.46,2.28,2.17,1.27,9.09,39.79,7.13,16,4,2.4,2.24,15.0,5.41,1,N
C1004,2024-09-01,Energy,Germany,17.54,3.62,0.2064,3.58,1.96,2.17,1.19,10.65,44.87,7.13,16,4,1.96,2.24,15.0,4.95,1,N
C1004,2024-10-01,Energy,Germany,17.98,3.44,0.1914,2.7,2.16,2.17,1.27,9.55,36.56,7.13,10,4,3.04,2.24,15.0,6.88,1,N
C1004,2024-11-01,Energy,Germany,18.36,3.55,0.1934,2.71,1.48,2.17,1.3,10.32,41.84,7.13,18,4,3.01,2.24,15.0,6.85,1,N
C1004,2024-12-01,Energy,Germany,19.63,3.48,0.1771,3.8,2.64,2.17,1.14,9.84,40.62,7.13,18,4,2.92,2.24,15.0,3.07,1,N
C1005,2024-01-01,Food & Beverage,Belgium,12.18,3.44,0.2824,3.45,2.35,1.16,0.79,2.68,35.25,8.24,10,2,0.63,0.66,15.0,7.58,1,N
C1005,2024-02-01,Food & Beverage,Belgium,12.17,3.43,0.2816,3.39,3.12,1.16,0.7,1.14,35.64,8.24,18,2,0.99,0.66,15.0,4.57,1,N
C1005,2024-03-01,Food & Beverage,Belgium,12.58,3.61,0.2868,3.12,1.74,1.16,0.73,2.38,33.21,8.24,0,1,0.29,0.66,15.0,7.4,1,N
C1005,2024-04-01,Food & Beverage,Belgium,13.35,4.11,0.3078,4.09,3.07,1.16,0.72,3.04,35.56,8.24,12,1,0.12,0.66,15.0,7.94,1,N
C1005,2024-05-01,Food & Beverage,Belgium,13.5,4.29,0.3174,3.22,2.23,1.16,0.7,3.39,34.83,8.24,3,1,1.29,0.66,15.0,9.22,1,N
C1005,2024-06-01,Food & Beverage,Belgium,13.35,4.24,0.3173,3.12,2.43,1.16,0.72,0.96,33.49,8.24,3,1,0.1,0.66,15.0,5.4,1,N
C1005,2024-07-01,Food & Beverage,Belgium,13.13,4.19,0.3189,3.61,3.24,1.16,0.72,3.27,31.23,8.24,12,1,0.78,0.66,15.0,6.66,1,N
C1005,2024-08-01,Food & Beverage,Belgium,13.11,4.24,0.3234,3.55,1.69,1.16,0.71,2.15,37.99,8.24,12,1,1.16,0.66,15.0,5.14,1,N
C1005,2024-09-01,Food & Beverage,Belgium,12.65,3.83,0.3025,2.75,2.72,1.16,0.81,1.63,36.14,8.24,26,1,1.58,0.66,15.0,8.44,1,N
C1005,2024-10-01,Food & Beverage,Belgium,13.3,4.3,0.3232,3.03,2.86,1.16,0.74,3.05,33.57,8.24,26,1,1.14,0.66,15.0,9.0,1,N
C1005,2024-11-01,Food & Beverage,Belgium,13.95,4.5,0.3223,3.68,1.61,1.16,0.77,2.92,35.25,8.24,29,1,1.19,0.66,15.0,6.79,1,N
C1005,2024-12-01,Food & Beverage,Belgium,14.49,4.47,0.3085,3.64,2.99,1.16,0.81,3.61,33.16,8.24,11,1,1.41,0.66,15.0,5.66,1,N
C1006,2024-01-01,Agriculture,Switzerland,5.95,1.51,0.253,1.33,0.82,1.44,1.68,12.69,58.25,8.36,0,3,1.57,2.02,11.46,10.6,1,N
C1006,2024-02-01,Agriculture,Switzerland,5.66,1.27,0.2248,1.07,0.7,1.44,1.87,15.43,55.16,8.36,0,3,1.11,2.02,12.02,10.57,1,N
C1006,2024-03-01,Agriculture,Switzerland,5.75,1.36,0.2361,1.46,1.33,1.44,1.83,13.03,51.63,8.36,0,3,2.15,2.02,9.2,7.07,1,N
C1006,2024-04-01,Agriculture,Switzerland,5.64,1.27,0.225,1.35,0.82,1.44,1.65,13.42,56.95,8.36,0,3,2.45,2.02,8.04,8.79,1,N
C1006,2024-05-01,Agriculture,Switzerland,5.77,1.33,0.2299,0.95,0.34,1.44,1.75,13.38,56.61,8.36,0,3,1.77,2.02,11.29,7.42,1,N
C1006,2024-06-01,Agriculture,Switzerland,5.54,1.37,0.2472,1.44,1.16,1.44,1.73,15.66,51.14,8.36,0,3,1.33,2.02,9.45,9.74,1,N
C1006,2024-07-01,Agriculture,Switzerland,5.66,1.35,0.2391,1.28,0.69,1.44,1.72,13.92,52.97,8.36,0,3,2.84,2.02,11.17,6.23,1,N
C1006,2024-08-01,Agriculture,Switzerland,5.73,1.53,0.2671,1.37,0.81,1.44,1.84,14.07,62.64,8.36,0,3,2.41,2.02,13.23,6.3,1,N
C1006,2024-09-01,Agriculture,Switzerland,5.71,1.52,0.2656,1.6,0.86,1.44,1.82,12.45,49.48,8.36,0,3,3.33,2.02,11.06,6.73,1,N
C1006,2024-10-01,Agriculture,Switzerland,6.09,1.61,0.2647,1.32,0.66,1.44,1.78,15.1,60.08,8.36,0,3,1.88,2.02,14.55,6.4,1,N
C1006,2024-11-01,Agriculture,Switzerland,6.48,1.86,0.2865,1.38,0.98,1.44,1.78,13.09,52.15,8.36,0,3,1.73,2.02,14.22,5.19,1,N
C1006,2024-12-01,Agriculture,Switzerland,6.81,1.88,0.2767,1.58,0.64,1.44,1.86,15.06,53.22,8.36,0,3,1.92,2.02,15.0,8.25,1,N
C1007,2024-01-01,Media & Entertainment,Austria,23.71,4.36,0.1839,4.61,3.46,1.22,1.01,20.95,57.45,8.64,3,2,1.13,0.45,15.0,4.84,1,N
C1007,2024-02-01,Media & Entertainment,Austria,23.71,4.25,0.1793,4.5,2.41,1.22,1.02,21.35,57.95,8.64,8,2,0.1,0.45,15.0,8.8,1,N
C1007,2024-03-01,Media & Entertainment,Austria,23.22,4.02,0.1732,3.92,3.48,1.22,1.02,21.07,59.62,8.64,10,2,1.46,0.45,15.0,7.87,1,N
C1007,2024-04-01,Media & Entertainment,Austria,22.59,3.71,0.1641,3.06,2.84,1.22,1.02,22.19,54.93,8.64,10,2,0.1,0.45,15.0,5.9,1,N
C1007,2024-05-01,Media & Entertainment,Austria,20.89,3.63,0.1739,3.64,3.18,1.22,1.02,21.13,58.86,8.64,0,2,0.4,0.45,15.0,8.22,1,N
C1007,2024-06-01,Media & Entertainment,Austria,20.83,3.94,0.1893,3.74,2.84,1.22,0.98,21.72,56.59,8.64,0,2,0.45,0.45,15.0,6.05,1,N
C1007,2024-07-01,Media & Entertainment,Austria,20.46,4.0,0.1955,3.64,2.03,1.22,0.96,20.87,54.36,8.64,0,2,1.37,0.45,15.0,7.17,1,N
C1007,2024-08-01,Media & Entertainment,Austria,20.19,4.14,0.2048,4.51,2.48,1.22,0.98,21.61,53.49,8.64,6,2,0.15,0.45,15.0,8.25,1,N
C1007,2024-09-01,Media & Entertainment,Austria,19.31,3.82,0.1976,3.4,2.35,1.22,0.98,19.24,54.52,8.64,24,2,0.1,0.45,15.0,3.91,1,N
C1007,2024-10-01,Media & Entertainment,Austria,20.58,3.95,0.1919,3.85,2.2,1.22,0.94,19.5,58.77,8.64,2,2,0.89,0.45,15.0,6.7,1,N
C1007,2024-11-01,Media & Entertainment,Austria,20.43,3.88,0.19,3.78,2.5,1.22,0.93,21.67,55.41,8.64,8,2,0.33,0.45,15.0,7.14,1,N
C1007,2024-12-01,Media & Entertainment,Austria,20.28,3.58,0.1766,3.35,1.88,1.22,0.96,23.01,55.11,8.64,5,2,0.1,0.45,15.0,10.14,1,N
C1008,2024-01-01,Pharmaceuticals,Belgium,25.95,2.61,0.1008,2.69,1.92,2.7,2.26,8.57,65.86,5.69,0,1,1.69,0.91,15.0,7.04,1,N
C1008,2024-02-01,Pharmaceuticals,Belgium,25.49,3.02,0.1184,2.69,1.49,2.7,2.12,7.91,71.38,5.69,5,1,2.27,0.91,15.0,6.55,1,N
C1008,2024-03-01,Pharmaceuticals,Belgium,26.59,3.03,0.1138,2.79,1.71,2.7,2.06,8.0,65.0,5.69,13,1,0.85,0.91,15.0,4.91,1,N
C1008,2024-04-01,Pharmaceuticals,Belgium,27.3,3.11,0.1138,3.25,3.06,2.7,2.22,10.5,62.57,5.69,0,1,2.23,0.91,15.0,10.07,1,N
C1008,2024-05-01,Pharmaceuticals,Belgium,28.7,3.09,0.1075,2.97,1.57,2.7,2.09,9.41,62.45,5.69,0,1,0.41,0.91,15.0,7.82,1,N
C1008,2024-06-01,Pharmaceuticals,Belgium,27.91,2.91,0.1044,2.45,1.34,2.7,1.99,9.44,72.24,5.69,2,1,0.61,0.91,15.0,9.82,1,N
C1008,2024-07-01,Pharmaceuticals,Belgium,27.45,3.04,0.1108,2.7,1.37,2.7,2.31,10.06,67.73,5.69,0,1,0.85,0.91,15.0,7.62,1,N
C1008,2024-08-01,Pharmaceuticals,Belgium,27.71,2.94,0.1061,2.35,1.85,2.7,2.09,7.49,67.62,5.69,0,1,1.21,0.91,15.0,6.71,1,N
C1008,2024-09-01,Pharmaceuticals,Belgium,26.72,2.93,0.1098,2.17,2.1,2.7,2.1,9.55,72.5,5.69,0,1,0.76,0.91,15.0,6.44,1,N
C1008,2024-10-01,Pharmaceuticals,Belgium,26.91,3.3,0.1227,3.37,2.19,2.7,2.09,7.93,66.09,5.69,0,1,0.57,0.91,15.0,6.98,1,N
C1008,2024-11-01,Pharmaceuticals,Belgium,25.4,3.35,0.132,2.39,1.86,2.7,2.0,10.21,70.83,5.69,0,1,0.88,0.91,15.0,6.95,1,N
C1008,2024-12-01,Pharmaceuticals,Belgium,26.85,3.27,0.1219,2.34,2.1,2.7,2.25,9.09,69.3,5.69,2,1,1.23,0.91,15.0,8.39,1,N
C1009,2024-01-01,Pharmaceuticals,Ireland,193.27,29.55,0.1529,27.99,18.47,11.06,7.99,5.04,62.84,7.54,19,5,1.85,2.33,15.0,4.95,1,N
C1009,2024-02-01,Pharmaceuticals,Ireland,168.69,27.81,0.1649,22.48,22.07,11.06,8.09,6.73,59.53,7.54,25,5,1.24,2.33,15.0,7.85,1,N
C1009,2024-03-01,Pharmaceuticals,Ireland,171.88,27.05,0.1574,21.17,15.2,11.06,8.45,6.67,64.95,7.54,22,5,2.25,2.33,15.0,9.69,1,N
C1009,2024-04-01,Pharmaceuticals,Ireland,177.18,27.78,0.1568,24.85,18.43,11.06,8.41,4.69,61.41,7.54,27,5,2.73,2.33,15.0,6.93,1,N
C1009,2024-05-01,Pharmaceuticals,Ireland,192.9,29.34,0.1521,30.28,29.56,11.06,7.54,5.38,57.72,7.54,29,5,2.44,2.33,15.0,3.41,1,N
C1009,2024-06-01,Pharmaceuticals,Ireland,196.37,29.07,0.148,21.89,18.5,11.06,7.61,5.68,65.38,7.54,34,5,3.06,2.33,15.0,8.53,2,N
C1009,2024-07-01,Pharmaceuticals,Ireland,195.26,26.6,0.1362,22.84,12.95,11.06,8.11,5.48,58.92,7.54,17,5,1.04,2.33,15.0,10.48,1,N
C1009,2024-08-01,Pharmaceuticals,Ireland,199.69,25.22,0.1263,26.25,23.0,11.06,7.58,6.96,55.65,7.54,19,5,2.64,2.33,15.0,5.42,1,N
C1009,2024-09-01,Pharmaceuticals,Ireland,205.74,27.96,0.1359,26.17,19.88,11.06,7.48,7.08,67.84,7.54,5,5,2.86,2.33,15.0,6.55,1,N
C1009,2024-10-01,Pharmaceuticals,Ireland,206.86,24.76,0.1197,21.09,15.54,11.06,7.79,7.5,61.98,7.54,7,5,1.56,2.33,15.0,4.73,1,N
C1009,2024-11-01,Pharmaceuticals,Ireland,204.22,22.89,0.1121,17.09,5.81,11.06,8.27,6.37,56.81,7.54,4,5,1.79,2.33,15.0,6.92,1,N
C1009,2024-12-01,Pharmaceuticals,Ireland,191.93,20.37,0.1061,15.95,9.28,11.06,7.61,6.61,66.18,7.54,10,5,1.46,2.33,15.0,9.17,1,N
C1010,2024-01-01,Food & Beverage,Switzerland,115.56,15.98,0.1382,13.62,5.98,11.57,7.29,8.51,49.01,4.74,11,3,0.1,0.1,15.0,8.73,1,N
C1010,2024-02-01,Food & Beverage,Switzerland,103.4,13.55,0.131,11.89,10.73,11.57,7.13,9.29,50.56,4.74,3,3,0.1,0.1,15.0,7.29,1,N
C1010,2024-03-01,Food & Beverage,Switzerland,103.35,13.71,0.1326,13.79,13.17,11.57,6.58,8.67,51.27,4.74,0,3,0.32,0.1,15.0,8.43,1,N
C1010,2024-04-01,Food & Beverage,Switzerland,103.45,13.74,0.1328,10.55,8.38,11.57,6.43,7.9,51.26,4.74,0,3,0.2,0.1,15.0,8.55,1,N
C1010,2024-05-01,Food & Beverage,Switzerland,104.51,12.96,0.1241,12.45,7.84,11.57,7.34,9.75,49.6,4.74,5,3,0.1,0.1,15.0,2.56,1,N
C1010,2024-06-01,Food & Beverage,Switzerland,98.97,12.03,0.1216,11.01,10.87,11.57,7.41,8.3,53.06,4.74,17,3,0.1,0.1,15.0,7.08,1,N
C1010,2024-07-01,Food & Beverage,Switzerland,97.91,12.11,0.1237,10.04,9.22,11.57,7.15,9.59,50.51,4.74,24,3,1.12,0.1,15.0,8.14,1,N
C1010,2024-08-01,Food & Beverage,Switzerland,102.46,13.01,0.127,13.29,10.86,11.57,6.87,8.37,46.71,4.74,39,3,0.1,0.1,15.0,5.06,2,N
C1010,2024-09-01,Food & Beverage,Switzerland,103.56,14.61,0.1411,15.07,13.82,11.57,7.01,9.33,49.72,4.74,47,3,0.44,0.1,15.0,2.58,2,N
C1010,2024-10-01,Food & Beverage,Switzerland,102.24,12.82,0.1254,10.44,8.72,11.57,6.72,9.11,48.32,4.74,44,3,0.1,0.1,15.0,6.83,2,N
C1010,2024-11-01,Food & Beverage,Switzerland,103.73,12.8,0.1234,11.37,5.78,11.57,6.44,10.19,52.57,4.74,46,3,0.1,0.1,15.0,7.64,2,N
C1010,2024-12-01,Food & Beverage,Switzerland,103.23,13.05,0.1264,11.9,9.63,11.57,7.35,8.87,54.79,4.74,38,3,1.27,0.1,15.0,5.67,2,N
C1011,2024-01-01,Construction,Spain,49.54,3.63,0.0732,3.47,1.88,5.39,4.52,15.16,55.97,9.5,13,6,4.0,3.42,6.92,6.47,1,N
C1011,2024-02-01,Construction,Spain,48.85,3.92,0.0803,3.82,2.5,5.39,4.76,14.49,57.61,9.5,36,6,2.29,3.42,6.96,4.18,2,N
C1011,2024-03-01,Construction,Spain,48.45,4.49,0.0926,3.63,3.04,5.39,4.46,13.09,55.57,9.5,28,6,1.78,3.42,10.43,8.39,1,N
C1011,2024-04-01,Construction,Spain,45.83,4.03,0.088,3.77,3.02,5.39,4.62,13.49,54.74,9.5,28,6,4.61,3.42,5.55,9.0,1,N
C1011,2024-05-01,Construction,Spain,45.97,3.8,0.0826,3.5,2.44,5.39,4.36,14.71,54.15,9.5,15,6,2.81,3.42,7.97,6.98,1,N
C1011,2024-06-01,Construction,Spain,44.52,3.49,0.0783,3.43,2.5,5.39,4.38,12.33,59.13,9.5,0,6,3.08,3.42,7.27,8.6,1,N
C1011,2024-07-01,Construction,Spain,43.52,3.16,0.0727,2.76,1.71,5.39,4.99,14.05,57.38,9.5,26,6,5.13,3.42,6.62,5.01,1,N
C1011,2024-08-01,Construction,Spain,42.75,3.52,0.0822,2.79,2.33,5.39,4.53,13.19,55.96,9.5,35,6,4.61,3.42,6.9,7.24,2,N
C1011,2024-09-01,Construction,Spain,41.47,4.18,0.1007,4.41,2.64,5.39,4.48,13.95,59.04,9.5,46,6,4.78,3.42,8.41,4.39,2,N
C1011,2024-10-01,Construction,Spain,43.24,4.22,0.0977,4.18,3.33,5.39,4.65,13.12,54.28,9.5,39,6,3.0,3.42,7.05,7.69,2,N
C1011,2024-11-01,Construction,Spain,43.69,4.25,0.0972,3.64,3.47,5.39,4.69,12.48,61.36,9.5,34,6,3.55,3.42,7.48,5.81,2,N
C1011,2024-12-01,Construction,Spain,41.74,4.06,0.0974,3.01,2.76,5.39,4.56,13.33,53.66,9.5,31,6,3.58,3.42,7.1,7.08,2,N
C1012,2024-01-01,Energy,Finland,172.18,33.92,0.197,27.18,22.96,29.18,18.1,1.69,37.74,4.14,87,9,2.42,2.55,15.0,4.89,2,Y
C1012,2024-02-01,Energy,Finland,172.62,37.19,0.2155,31.08,29.02,29.18,16.71,0.79,38.36,4.14,86,9,2.77,2.55,15.0,5.54,2,Y
C1012,2024-03-01,Energy,Finland,164.79,34.96,0.2121,26.11,22.88,29.18,17.53,0.76,35.1,4.14,95,10,2.53,2.55,15.0,2.25,3,Y
C1012,2024-04-01,Energy,Finland,157.91,33.5,0.2121,29.93,27.29,29.18,17.33,3.19,32.32,4.14,95,10,2.25,2.55,15.0,3.34,3,Y
C1012,2024-05-01,Energy,Finland,164.46,35.08,0.2133,26.74,15.04,29.18,16.64,1.79,35.38,4.14,95,10,1.49,2.55,15.0,5.33,3,Y
C1012,2024-06-01,Energy,Finland,163.23,34.14,0.2092,27.13,16.42,29.18,17.28,2.01,29.62,4.14,87,10,1.21,2.55,15.0,6.56,2,Y
C1012,2024-07-01,Energy,Finland,171.24,36.12,0.2109,25.4,11.32,29.18,17.94,2.68,37.85,4.14,86,10,2.2,2.55,15.0,3.31,2,Y
C1012,2024-08-01,Energy,Finland,164.99,34.48,0.209,25.28,23.1,29.18,17.18,0.3,35.19,4.14,84,10,2.57,2.55,15.0,6.25,2,Y
C1012,2024-09-01,Energy,Finland,165.39,37.62,0.2274,27.91,19.36,29.18,17.78,1.1,36.81,4.14,94,10,1.6,2.55,15.0,4.11,3,Y
C1012,2024-10-01,Energy,Finland,169.16,41.63,0.2461,39.76,24.85,29.18,16.27,1.41,35.42,4.14,107,10,2.22,2.55,15.0,5.82,3,Y
